GPS,Sats,HDOP,Latitude,Longitude,Fix Age,DateTime,DateAge,Alt,Course,Speed,Card,DistanceToG,CourseToG,CardToG,CharsRX,SentencesRX,ChecksumFail
MPU9250,Yaw,Pitch,Roll,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,MyYaw
State,VehicleMode,yawDiff,gpsYawDiff,goalDistance,goalLat,goalLong,targetYaw,northYaw,GPSCItems,lastGPSC,motorLeft,motorRight,curentSpeed,flightPin,fallDown,millis,logFileNumber,sdLog,magX,magY,magZ
State,Sd test ok
State,GPS check.
State,GPS OK.
State,IMU OK.
State,Sd test ok
State,setup ended.
MPU9250,168.167315,-8.330040,4.606170,-0.322754,0.050293,0.994629,0.244141,-0.305176,0.183105,-199.218445,401.074829,405.645691
GPS,9,0.960000,31.567782,130.543637,87,2021-08-31T07:42:06,87,23.100000,263.090000,0.018520,W,1.698733,39.215112,NE,593,7,1
State,Mission,0.000000,-93.399776,1.698733,31.567794,130.543648,39.215112,0.000000,0,0.000000,255,255,168,Removed,Normal,6670,54,Enabled, -206.270264, 402.849518, 403.941284
MPU9250,159.836348,-13.438455,7.658634,-0.223145,0.083008,0.967773,-13.000488,-7.080078,44.677734,-239.766388,409.948181,417.576355
GPS,9,0.960000,31.567783,130.543638,33,2021-08-31T07:42:06,33,21.400000,263.090000,0.092600,W,1.455355,39.011624,NE,881,11,1
State,Mission,-130.475112,-99.038493,1.455355,31.567794,130.543648,39.011624,0.000000,0,0.000000,168,168,168,Inserted,Normal,6815,54,Enabled, -218.610939, 400.187500, 410.758789
MPU9250,148.122250,-18.227104,7.505722,-0.409668,0.081543,1.027344,-12.451172,1.403809,39.733887,-271.499573,395.750824,397.123718
GPS,9,0.960000,31.567785,130.543640,69,2021-08-31T07:42:07,69,20.200000,263.090000,0.092600,W,1.211857,38.726210,NE,1025,13,1
State,Mission,-125.039883,-110.773900,1.211857,31.567794,130.543648,38.726210,0.000000,0,0.000000,168,168,168,Inserted,Normal,6951,54,Enabled, -234.477531, 400.187500, 410.758789
MPU9250,138.430817,-16.947510,6.008089,-0.321777,0.042480,0.948242,-12.268066,-6.103516,31.066895,-306.758636,385.102814,431.211365
GPS,9,0.960000,31.567783,130.543638,100,2021-08-31T07:42:07,100,19.700000,263.090000,0.092600,W,1.455355,39.011624,NE,1169,15,1
